url_code,url,annotation
B0182QC6E6,http://www.amazon.com/dp/B0182QC6E6,0
B01F7UOMJ2,http://www.amazon.com/dp/B01F7UOMJ2,0
1466434139,http://www.amazon.com/dp/1466434139,5
B01MREOH8B,http://www.amazon.com/dp/B01MREOH8B,5
B01LZ6RXS6,http://www.amazon.com/dp/B01LZ6RXS6,5
1494430533,http://www.amazon.com/dp/1494430533,5
B0131GM2Z0,http://www.amazon.com/dp/B0131GM2Z0,5
B01E5420OK,http://www.amazon.com/dp/B01E5420OK,5
B00JAL3AAW,http://www.amazon.com/dp/B00JAL3AAW,3
B07JHV9361,http://www.amazon.com/dp/B07JHV9361,5
B07X59YXFH,http://www.amazon.com/dp/B07X59YXFH,0
B00KBB1RZA,http://www.amazon.com/dp/B00KBB1RZA,5
B01M3P4PH8,http://www.amazon.com/dp/B01M3P4PH8,0
B079QGMDR7,http://www.amazon.com/dp/B079QGMDR7,5
B013QU8CKK,http://www.amazon.com/dp/B013QU8CKK,5
B075XRBF56,http://www.amazon.com/dp/B075XRBF56,0
B00EST1O90,http://www.amazon.com/dp/B00EST1O90,0
B00TQ8483C,http://www.amazon.com/dp/B00TQ8483C,5
B076CVQGDD,http://www.amazon.com/dp/B076CVQGDD,5
1985414031,http://www.amazon.com/dp/1985414031,5
B001PYXM1Y,http://www.amazon.com/dp/B001PYXM1Y,0
B06XG198YL,http://www.amazon.com/dp/B06XG198YL,5
B07QR1H5LL,http://www.amazon.com/dp/B07QR1H5LL,0
B07NCR9RB1,http://www.amazon.com/dp/B07NCR9RB1,5
B07CHPDDVG,http://www.amazon.com/dp/B07CHPDDVG,1
B07RX5PTDK,http://www.amazon.com/dp/B07RX5PTDK,5
0999730258,http://www.amazon.com/dp/0999730258,0
B07GV4WKTS,http://www.amazon.com/dp/B07GV4WKTS,5
B07TMC6YM7,http://www.amazon.com/dp/B07TMC6YM7,3
B0195H8LBS,http://www.amazon.com/dp/B0195H8LBS,5
B07TKCH5L7,http://www.amazon.com/dp/B07TKCH5L7,0
B075WZTJR4,http://www.amazon.com/dp/B075WZTJR4,0
